b_tgt,cat_input1,cat_input2,demog_age,demog_ho,demog_homeval,demog_inc,demog_pr,rfm1,rfm2,rfm3,rfm4,rfm5,rfm6,rfm7,rfm8,rfm9,rfm10,rfm11,rfm12,demog_genf,demog_genm,account
0,X,D,16,0,31608,$0.00 ,23,$25.00 ,$25.00 ,,$25.00 ,0,3,0,0,16,11,5,75,1,0,100422974
0,X,A,53,1,231395,75024,37,$11.50 ,$8.67 ,$11.00 ,$12.00 ,4,9,2,5,18,14,6,87,0,1,100775760
0,X,E,NA,0,53885,44426,24,$22.50 ,$17.20 ,,$25.00 ,3,6,1,2,27,12,6,40,1,0,100656036
0,Z,E,61,0,24099,40648,28,$8.00 ,$6.33 ,$11.00 ,$11.00 ,2,3,1,1,17,13,6,20,0,1,100754355
0,X,A,81,1,215929,52938,48,$15.00 ,$11.50 ,,$15.00 ,2,4,0,0,18,14,6,56,1,0,100712817
0,X,A,46,0,142951,$0.00 ,36,$20.00 ,$17.50 ,,$20.00 ,1,2,0,0,17,11,4,44,0,1,100497409
0,X,D,64,1,79934,65593,29,$26.20 ,$20.06 ,$26.50 ,$25.00 ,6,18,5,10,20,15,7,131,1,0,100526546
0,Z,C,69,1,88132,60838,19,$12.50 ,$12.50 ,$20.00 ,$20.00 ,2,2,1,1,16,13,5,20,0,1,100941066
1,X,B,NA,0,202134,$0.00 ,25,$5.80 ,$5.83 ,$5.50 ,$5.00 ,6,7,5,5,17,15,7,30,0,1,100597166
0,X,A,54,0,409006,$0.00 ,36,$12.33 ,$17.43 ,$12.50 ,$15.00 ,3,7,2,4,16,14,6,81,1,0,100985438
1,X,A,NA,0,383711,$0.00 ,22,$14.00 ,$10.09 ,$14.00 ,$10.00 ,4,11,4,9,4,24,9,66,1,0,100199415
0,X,E,60,1,84619,70850,33,$20.00 ,$12.00 ,$20.00 ,$20.00 ,2,7,2,5,22,12,5,91,0,1,100260523
0,X,C,73,1,71505,49044,33,$14.00 ,$9.83 ,$11.00 ,$20.00 ,2,5,1,3,25,9,4,80,0,1,100264894
0,X,B,65,0,85920,$0.00 ,42,$27.50 ,$20.00 ,,$35.00 ,2,4,0,0,18,13,6,50,0,1,100403014
0,X,E,NA,0,44678,$0.00 ,23,$17.00 ,$14.11 ,,$18.00 ,2,9,0,6,21,11,5,122,1,0,100479347
0,X,E,NA,0,40193,$0.00 ,35,$20.00 ,$15.00 ,,$20.00 ,2,3,1,1,18,11,5,35,0,1,100371326
0,X,E,42,1,27004,39396,35,$15.00 ,$10.00 ,$15.00 ,$15.00 ,2,3,2,3,16,10,5,42,1,0,100275319
0,X,C,78,0,78319,$0.00 ,36,$15.67 ,$13.03 ,$15.00 ,$15.00 ,4,16,3,6,24,21,11,79,1,0,100355278
1,X,C,35,1,148168,51889,14,$15.80 ,$15.57 ,$18.33 ,$14.00 ,5,7,3,3,18,13,6,33,1,0,100554546
1,X,A,NA,0,549977,$0.00 ,13,$15.00 ,$10.75 ,$10.00 ,$20.00 ,2,4,1,2,26,11,5,41,1,0,100869871
0,Y,C,NA,0,137809,$0.00 ,30,$13.80 ,$10.23 ,$14.00 ,$15.00 ,5,13,2,5,19,15,6,113,1,0,100308316
0,X,D,NA,0,69927,$0.00 ,28,$15.00 ,$9.40 ,,$15.00 ,1,4,0,0,24,9,3,79,0,1,100851392
0,X,E,77,1,32200,40782,22,$11.33 ,$6.70 ,$11.50 ,$13.00 ,3,10,2,7,18,14,6,125,1,0,100641589
0,X,A,52,1,297274,72487,37,$15.00 ,$12.33 ,$15.00 ,$15.00 ,2,7,2,5,18,14,7,75,1,0,100891818
0,X,C,NA,0,59725,$0.00 ,52,$32.50 ,$28.33 ,,$35.00 ,2,3,0,0,18,13,6,41,1,0,100955305
0,Y,E,71,1,70175,43120,34,$16.00 ,$14.00 ,,$20.00 ,2,3,0,1,18,12,6,42,0,1,100245996
0,X,B,45,1,279258,78890,28,$11.00 ,$7.94 ,$12.00 ,$12.00 ,2,16,1,9,16,13,5,102,0,1,100982916
1,X,E,45,0,47491,40705,29,$7.33 ,$6.75 ,$7.50 ,$10.00 ,3,4,2,2,18,13,6,27,1,0,101025842
1,Y,C,NA,0,64892,$0.00 ,28,$4.50 ,$3.43 ,$3.50 ,$5.00 ,6,28,2,12,18,13,6,75,1,0,100251593
0,X,B,NA,1,76120,70360,32,$13.33 ,$15.09 ,,$20.00 ,3,11,0,4,19,13,6,81,0,1,101022091
0,Y,A,46,0,76132,69392,44,$16.00 ,$11.00 ,,$17.00 ,2,13,0,9,15,12,5,113,1,0,100291256
0,X,E,69,1,45013,52919,33,$3.52 ,$3.75 ,$3.28 ,$3.00 ,6,23,4,17,17,11,6,119,1,0,100470878
0,X,E,NA,0,59988,50156,29,$20.00 ,$9.33 ,,$20.00 ,1,3,0,1,18,13,6,41,0,1,100453284
0,Z,A,54,1,334026,73564,46,$15.00 ,$15.00 ,$15.00 ,$15.00 ,3,3,2,2,24,12,6,28,1,0,100022857
0,Y,D,34,0,85692,56531,55,$0.00 ,$9.40 ,,$5.00 ,0,10,0,3,15,31,5,122,1,0,100219172
0,X,A,64,1,83897,73629,27,$15.00 ,$9.00 ,,$15.00 ,2,12,1,9,19,12,5,130,0,1,100891071
0,Z,E,NA,1,31123,46664,37,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,16,11,4,16,0,1,100865474
1,X,E,78,0,45874,35215,33,$5.00 ,$4.65 ,$5.00 ,$5.00 ,4,23,1,13,17,11,5,123,0,1,100721683
1,X,D,82,1,31205,39018,44,$6.50 ,$5.11 ,$6.33 ,$8.00 ,6,19,3,12,18,12,6,104,1,0,100333733
0,X,E,69,0,60196,36355,44,$11.00 ,$11.00 ,$10.00 ,$18.00 ,3,3,1,1,19,13,6,31,1,0,100064252
0,X,B,NA,0,66717,$0.00 ,40,$30.00 ,$14.33 ,$30.00 ,$30.00 ,2,7,2,5,17,15,7,77,0,1,100702244
0,X,E,NA,0,137508,$0.00 ,4,$15.00 ,$14.00 ,,$15.00 ,0,3,0,1,21,9,3,68,0,1,100421539
0,X,E,69,0,48794,$0.00 ,33,$15.00 ,$9.40 ,,$15.00 ,0,4,0,1,25,8,3,91,0,1,100726346
0,X,C,NA,0,54795,38611,19,$20.00 ,$15.00 ,$20.00 ,$20.00 ,2,3,2,2,19,11,5,44,0,1,100800080
0,Z,B,NA,0,191692,$0.00 ,39,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,17,11,4,17,0,1,100736183
0,X,E,NA,0,29414,21447,12,$36.00 ,$17.17 ,,$36.00 ,1,6,0,3,26,10,5,130,1,0,100959172
1,X,E,NA,0,54107,$0.00 ,38,$5.50 ,$4.45 ,$5.20 ,$1.00 ,6,11,5,7,16,8,4,44,0,1,100931515
1,X,E,38,1,92377,73309,38,$8.67 ,$7.00 ,$8.00 ,$10.00 ,2,17,0,6,17,13,5,88,1,0,100861276
1,X,A,NA,0,93368,$0.00 ,15,$9.00 ,$7.22 ,$7.67 ,$12.00 ,5,9,3,4,18,12,6,40,1,0,100580871
0,Y,E,59,0,59908,60375,26,$15.00 ,$12.00 ,,$15.00 ,1,5,0,2,20,11,5,86,1,0,100185941
0,X,A,51,0,138488,58983,47,$40.00 ,$20.67 ,,$25.00 ,1,15,0,4,17,29,6,133,0,1,100014785
0,Z,B,49,1,218165,71261,27,$20.00 ,$20.00 ,$20.00 ,$15.00 ,2,2,0,0,15,25,10,22,1,0,100201243
0,Z,E,NA,0,141526,24246,0,$25.00 ,$25.00 ,$25.00 ,$25.00 ,1,1,1,1,20,10,5,20,0,1,100785594
1,X,E,NA,0,227529,$0.00 ,0,$12.50 ,$12.50 ,,$20.00 ,2,2,0,0,19,10,4,32,1,0,100592293
0,X,C,66,0,67506,56362,28,$27.50 ,$21.67 ,$27.50 ,$10.00 ,1,2,1,1,14,14,5,32,0,1,100346488
0,Y,E,61,1,40724,39398,36,$15.00 ,$10.22 ,$15.00 ,$15.00 ,0,8,0,2,15,12,4,63,0,1,100160254
0,Y,E,46,1,105781,69118,26,$20.00 ,$14.00 ,,$20.00 ,1,5,0,2,20,11,4,88,1,0,100324659
0,X,E,NA,0,62030,$0.00 ,0,$15.00 ,$13.33 ,$20.00 ,$20.00 ,2,3,1,1,17,13,6,32,0,1,100340870
1,Z,B,47,1,168315,90030,32,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,23,8,3,23,0,1,100639739
1,X,E,NA,0,31781,$0.00 ,18,$4.25 ,$2.34 ,$5.00 ,$5.00 ,3,28,1,13,16,10,4,123,0,1,100960773
0,X,C,-1,0,41899,36929,29,$10.00 ,$9.13 ,$10.00 ,$10.00 ,0,23,0,14,21,11,4,125,0,1,100879405
0,X,B,42,1,82785,60534,25,$25.00 ,$21.67 ,,$25.00 ,1,3,0,1,18,13,6,42,0,1,100211233
0,Z,A,41,0,469816,104651,22,$20.00 ,$20.00 ,$20.00 ,$20.00 ,2,2,2,2,21,11,5,21,1,0,100677983
0,Z,A,82,1,197605,100477,32,$23.00 ,$23.00 ,$23.00 ,$23.00 ,1,1,1,1,17,11,5,17,0,1,100504501
0,X,C,69,0,45472,47919,27,$17.00 ,$10.60 ,$16.00 ,$18.00 ,2,20,1,13,19,13,6,124,1,0,100173152
1,Z,E,53,0,204714,$0.00 ,0,$17.50 ,$15.00 ,$17.50 ,$15.00 ,2,1,2,1,18,10,4,18,0,1,100922291
0,X,B,72,1,94579,64265,44,$20.00 ,$13.11 ,$20.00 ,$20.00 ,1,9,1,5,22,12,6,124,1,0,100253602
0,X,D,NA,0,28087,30795,21,$25.00 ,$25.00 ,,$25.00 ,1,1,0,0,15,8,3,15,1,0,100537745
0,X,E,NA,1,56582,29900,44,$37.50 ,$19.24 ,$50.00 ,$25.00 ,1,16,0,7,17,26,5,127,1,0,100563874
1,X,B,75,0,77494,35893,43,$13.33 ,$5.39 ,$15.00 ,$10.00 ,3,23,2,13,19,14,6,113,1,0,100837708
0,X,B,63,1,82115,70173,38,$25.00 ,$17.86 ,$25.00 ,$10.00 ,1,7,1,2,18,13,6,79,1,0,100425466
0,X,C,80,1,461196,105949,30,$18.00 ,$13.67 ,$18.00 ,$25.00 ,3,4,3,4,19,14,7,38,0,1,100264891
0,Z,D,NA,0,58126,$0.00 ,21,$20.00 ,$20.00 ,$20.00 ,$20.00 ,0,0,0,0,16,10,4,16,1,0,100905198
0,Z,E,74,0,39921,48116,38,$7.50 ,$6.00 ,$5.00 ,$5.00 ,3,4,2,2,18,13,7,24,1,0,100190893
1,X,C,70,1,87012,42153,51,$5.13 ,$4.79 ,$5.50 ,$5.00 ,8,14,4,6,16,14,6,52,1,0,100627516
0,X,E,84,1,63701,31634,16,$11.33 ,$10.29 ,$10.00 ,$10.00 ,3,21,1,7,22,27,4,105,1,0,100340466
0,X,A,79,1,197183,73479,37,$20.00 ,$17.46 ,$20.00 ,$20.00 ,2,13,2,5,25,11,6,75,0,1,100698623
0,Y,B,66,1,80994,32931,31,$20.00 ,$20.00 ,$20.00 ,$20.00 ,0,0,0,0,15,11,4,15,0,1,100061173
0,X,B,40,1,264406,106642,18,$29.67 ,$23.27 ,$29.25 ,$27.00 ,6,22,4,16,24,12,6,105,1,0,100212004
0,X,E,56,1,56030,56479,38,$18.67 ,$16.50 ,$10.00 ,$26.00 ,4,5,2,2,18,14,7,39,0,1,100431968
0,Z,E,NA,1,86397,47711,47,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,15,10,5,15,0,1,100558093
0,X,B,78,0,69982,95519,50,$25.00 ,$18.33 ,$25.00 ,$25.00 ,1,3,1,2,21,12,6,57,1,0,100821796
0,X,A,64,1,74624,41157,30,$20.00 ,$12.20 ,,$20.00 ,1,5,0,3,19,11,4,87,0,1,100715469
0,Z,D,43,0,$0.00 ,$0.00 ,11,$20.00 ,$20.00 ,,$20.00 ,1,1,0,0,20,10,4,20,0,1,100429853
0,X,E,71,0,26791,32385,32,$13.75 ,$10.70 ,,$15.00 ,5,11,1,4,19,14,7,97,1,0,100866487
0,X,E,53,1,33102,43221,35,$15.00 ,$15.00 ,$20.00 ,$20.00 ,2,2,1,1,24,9,4,32,1,0,100845951
0,X,B,NA,0,195157,$0.00 ,47,$25.00 ,$18.75 ,$25.00 ,$25.00 ,2,4,1,2,19,13,6,45,0,1,100157028
0,X,A,30,1,320002,51826,13,$15.33 ,$15.33 ,$15.00 ,$16.00 ,3,3,2,2,18,12,6,28,1,0,100009617
0,X,C,42,1,83320,55914,31,$9.00 ,$9.00 ,$9.00 ,$10.00 ,5,5,3,3,20,13,7,30,0,1,100827961
0,X,A,63,1,75155,49605,32,$15.00 ,$8.60 ,$15.00 ,$15.00 ,1,5,1,5,24,10,4,88,1,0,100038146
0,X,B,71,1,66722,58655,29,$17.50 ,$13.92 ,$17.50 ,$25.00 ,3,13,3,7,19,9,5,92,1,0,100586252
0,Z,B,29,1,62643,64937,25,$50.00 ,$50.00 ,$50.00 ,$50.00 ,1,1,1,1,21,11,5,21,1,0,100350578
0,X,C,86,1,64201,56372,37,$10.00 ,$14.00 ,$10.00 ,$10.00 ,1,15,0,5,19,6,2,88,0,1,100650529
0,X,A,75,1,178407,68342,30,$22.00 ,$18.75 ,$22.00 ,$22.00 ,4,13,2,6,20,14,7,127,1,0,100491778
0,X,A,NA,0,96706,$0.00 ,0,$8.50 ,$8.50 ,$8.33 ,$10.00 ,4,4,3,3,16,15,6,29,1,0,100891515
0,X,E,79,1,64920,35517,30,$10.00 ,$15.14 ,$10.00 ,$0.00 ,1,14,1,7,4,45,6,105,0,1,100527369
0,X,E,63,1,32091,33020,34,$21.40 ,$17.18 ,$21.75 ,$15.00 ,5,11,4,6,16,30,6,69,0,1,100384136
0,X,D,60,1,62315,52640,23,$12.20 ,$8.85 ,$12.75 ,$20.00 ,4,12,3,5,22,11,5,52,1,0,100525551
1,X,A,NA,0,35405,$0.00 ,0,$12.33 ,$9.00 ,$11.00 ,$10.00 ,3,11,1,4,7,23,8,74,1,0,100387179
1,X,E,NA,0,25885,34169,39,$27.50 ,$16.64 ,$30.00 ,$30.00 ,2,11,1,8,25,12,6,113,1,0,100929865
0,X,A,88,0,79877,$0.00 ,45,$9.67 ,$11.32 ,$10.00 ,$9.00 ,4,12,3,8,19,14,7,105,0,1,100713272
0,Y,D,NA,0,70314,$0.00 ,29,$5.29 ,$4.73 ,$5.25 ,$5.00 ,7,15,4,9,18,13,5,67,0,1,100943884
1,X,E,NA,0,71279,$0.00 ,42,$6.67 ,$5.05 ,$6.67 ,$10.00 ,3,22,3,17,21,13,6,126,0,1,100663745
0,X,C,NA,0,62763,$0.00 ,32,$21.00 ,$12.39 ,$21.00 ,$21.00 ,0,35,0,12,16,12,5,127,1,0,100894317
0,X,D,NA,0,29376,21441,12,$35.00 ,$17.17 ,,$35.00 ,1,6,0,3,26,10,5,130,1,0,100862805
1,X,D,51,1,97703,45765,40,$9.14 ,$7.87 ,$9.25 ,$8.00 ,7,15,4,7,17,14,6,76,0,1,100417056
0,X,A,51,0,390822,$0.00 ,37,$25.00 ,$18.33 ,,$15.00 ,1,6,0,2,18,10,5,85,0,1,100504148
1,Y,C,74,1,114318,51640,52,$7.29 ,$6.43 ,$7.25 ,$6.00 ,7,14,4,6,15,13,6,65,1,0,100349333
0,X,A,NA,1,80704,65507,22,$22.50 ,$18.33 ,,$25.00 ,2,3,0,1,19,13,6,45,0,1,100112109
0,X,B,63,1,65712,46571,36,$10.33 ,$9.25 ,$16.00 ,$16.00 ,3,4,1,1,15,11,5,32,0,1,100322437
0,X,E,36,0,41882,41093,26,$25.00 ,$14.00 ,$30.00 ,$30.00 ,1,4,0,1,17,12,5,40,0,1,100373074
0,X,A,49,1,137770,128241,30,$0.00 ,$17.50 ,,$20.00 ,0,4,0,2,18,18,6,44,1,0,100303922
0,X,B,74,1,87399,41426,40,$11.71 ,$11.16 ,$10.67 ,$12.00 ,8,26,4,10,21,15,8,75,0,1,100617600
0,Z,E,72,0,42296,41272,32,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,24,7,3,24,0,1,100662620
0,X,E,55,1,52900,49190,33,$10.00 ,$9.73 ,$10.00 ,$10.00 ,1,15,1,8,21,11,5,79,1,0,100823314
0,X,C,NA,0,57284,$0.00 ,36,$6.57 ,$6.09 ,$7.67 ,$5.00 ,6,10,2,3,17,12,5,41,1,0,100071212
0,Z,D,37,1,123541,81042,17,$20.00 ,$13.00 ,$20.00 ,$6.00 ,1,2,1,1,15,11,4,17,1,0,100975589
0,X,E,40,1,99204,36100,18,$14.00 ,$9.44 ,,$19.00 ,2,10,1,4,19,10,6,78,0,1,100999816
0,Z,C,52,1,113224,56062,29,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,17,10,4,17,1,0,100925164
0,X,C,74,0,35595,38168,43,$16.00 ,$9.20 ,,$22.00 ,2,5,0,2,19,13,6,52,1,0,100067065
0,X,E,NA,1,70290,38401,30,$11.00 ,$8.89 ,$11.00 ,$12.00 ,4,9,2,3,20,12,6,68,1,0,100750164
0,X,B,66,1,203108,66659,58,$42.00 ,$29.10 ,$41.00 ,$45.00 ,3,10,1,4,25,14,6,91,0,1,100733023
0,X,E,74,1,184264,47367,12,$14.00 ,$14.00 ,$12.50 ,$20.00 ,4,4,2,2,15,14,6,32,0,1,100626076
0,Y,E,61,1,74599,36030,32,$16.00 ,$13.00 ,,$16.00 ,1,4,0,1,18,10,4,66,1,0,100743745
1,Z,A,51,1,262525,79842,35,$25.00 ,$25.00 ,$25.00 ,$25.00 ,1,1,1,1,23,9,4,23,1,0,100681547
0,X,E,NA,0,36011,41178,19,$12.50 ,$12.50 ,$10.00 ,$15.00 ,2,2,1,1,18,10,4,29,1,0,100998993
1,Y,D,65,0,84718,25481,21,$5.17 ,$4.60 ,$5.33 ,$5.00 ,7,11,4,6,16,15,7,45,0,1,100976060
0,X,A,66,1,95199,53549,22,$9.50 ,$8.38 ,$10.67 ,$10.00 ,6,8,3,3,15,13,6,40,1,0,100112050
0,X,A,37,0,191902,74554,19,$15.00 ,$8.00 ,$15.00 ,$15.00 ,1,6,1,4,21,11,4,93,0,1,100213755
0,X,D,NA,0,97175,$0.00 ,25,$23.75 ,$23.75 ,$23.33 ,$25.00 ,5,5,4,4,20,17,7,29,1,0,100326469
1,Y,B,72,0,162515,$0.00 ,28,$5.14 ,$5.21 ,$4.67 ,$5.00 ,6,13,2,5,15,8,3,68,1,0,100020974
0,X,E,81,1,32471,43875,27,$10.00 ,$10.00 ,$15.00 ,$15.00 ,1,1,0,0,20,9,3,31,1,0,100726831
0,X,A,83,0,126805,59584,25,$15.00 ,$9.13 ,,$16.00 ,2,8,0,4,18,13,6,105,1,0,100773663
0,X,E,71,1,63585,45709,39,$12.33 ,$10.43 ,$12.50 ,$25.00 ,3,14,2,5,17,13,6,86,0,1,100952246
0,X,E,NA,0,35742,$0.00 ,19,$11.00 ,$4.92 ,$11.00 ,$12.00 ,2,12,2,10,17,14,6,130,0,1,100364669
0,X,B,77,1,302090,70093,22,$21.00 ,$17.80 ,$21.00 ,$21.00 ,2,5,1,4,19,13,6,81,1,0,100597452
0,X,E,78,1,111512,41467,41,$20.00 ,$16.38 ,,$20.00 ,1,8,0,3,26,10,5,73,0,1,101049454
0,X,E,77,1,84708,29756,43,$15.00 ,$12.50 ,,$15.00 ,0,1,0,0,19,9,3,43,1,0,100624212
0,Y,E,53,0,57599,54966,17,$13.33 ,$14.17 ,$12.50 ,$15.00 ,3,6,2,2,18,13,6,40,0,1,100432601
0,X,D,84,1,49787,43322,40,$20.00 ,$9.67 ,$20.00 ,$20.00 ,0,8,0,5,20,11,5,112,0,1,100422649
0,X,C,76,1,73607,51348,25,$10.00 ,$5.67 ,$10.00 ,$10.00 ,7,30,5,14,15,14,6,126,0,1,100924988
0,X,E,84,1,34993,40054,36,$11.33 ,$10.50 ,,$13.00 ,3,4,0,0,19,12,6,31,1,0,100341020
0,X,B,38,1,82787,44354,53,$10.00 ,$6.43 ,$10.00 ,$15.00 ,1,44,1,14,15,22,3,111,0,1,100328587
0,X,A,82,0,119909,$0.00 ,50,$9.00 ,$8.43 ,$8.80 ,$10.00 ,6,7,5,6,19,12,6,41,1,0,100293149
0,Z,A,35,1,227771,79776,27,$20.00 ,$20.00 ,$20.00 ,$20.00 ,1,1,1,1,17,10,4,17,1,0,100603125
0,X,B,74,1,78784,46353,48,$8.75 ,$6.62 ,$8.33 ,$6.00 ,4,13,3,8,17,12,5,80,0,1,100997593
0,Z,D,62,1,97375,56616,37,$15.00 ,$15.00 ,$15.00 ,$15.00 ,0,0,0,0,16,9,3,16,1,0,100819795
0,X,E,NA,0,62184,33954,41,$15.00 ,$11.67 ,,$15.00 ,0,2,0,1,17,9,3,43,1,0,100854227
0,Z,E,NA,0,133826,70537,5,$15.00 ,$15.00 ,$15.00 ,$15.00 ,1,1,1,1,18,10,4,18,0,1,100937098
0,X,A,52,0,228694,$0.00 ,28,$25.00 ,$13.89 ,$25.00 ,$25.00 ,0,8,0,3,18,13,5,74,1,0,100021778
0,X,E,NA,0,137511,$0.00 ,4,$12.50 ,$12.50 ,$12.50 ,$15.00 ,2,2,2,2,18,10,4,33,1,0,100325260
0,X,B,84,0,84722,$0.00 ,65,$21.00 ,$16.05 ,,$22.00 ,2,19,0,8,18,8,4,126,1,0,100340003
1,X,B,84,0,61494,63154,35,$4.50 ,$5.17 ,$4.33 ,$5.00 ,4,6,3,3,17,13,6,29,1,0,100612268
